Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
6 front teeth implants,1,1,90,48.52,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,42,0.12,0.00,0,6560000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2020-12-23,"Image pack, People also ask"
composite bonding price ireland,1,1,140,70.13,1.10,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,112,0.33,123.00,0.51,963000,"[3,8,5,3,3,5,18,82,67,82,54,100]",2021-01-15,"Site links, Video, People also ask"
cheap dental implants ireland,1,1,170,70.56,0.75,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,79,0.23,59.00,0.8,38200000,"[81,100,81,100,81,65,54,54,65,81,65,35]",2021-01-07,"Local pack, Image pack, People also ask"
dental bonding before braces,1,1,90,62.62,0.00,https://www.3dental.ie/blog/7-things-you-need-to-know-about-composite-bonding/,42,0.12,0.00,0,9470000,"[0,0,33,0,0,0,0,100,0,0,0,0]",2021-01-14,"Image pack, Site links, People also ask"
cosmetic bonding,1,1,170,68.53,0.75,https://www.3dental.ie/bonding/,79,0.23,59.00,0.05,79100000,"[42,42,81,81,42,54,54,100,100,65,81,100]",2021-01-09,"Image pack, Site links, People also ask"
veneers cost ireland,1,1,170,71.23,0.76,https://www.3dental.ie/veneers-in-a-day/,79,0.23,60.00,0.5,360000,"[54,35,81,81,42,54,54,81,100,100,81,100]",2021-01-08,"Image pack, Reviews, Featured snippet, People also ask"
adult braces,1,1,170,74.2,1.13,https://www.3dental.ie/adult-braces/,79,0.23,90.00,0.54,133000000,"[42,35,42,42,42,54,54,100,65,100,81,81]",2020-12-23,"Local pack, Image pack, People also ask"
composite veneers bottom teeth,1,1,90,66.78,0.00,https://www.3dental.ie/blog/7-things-you-need-to-know-about-composite-bonding/,42,0.12,0.00,0.46,610000,"[20,100,20,0,0,0,0,20,0,20,20,20]",2021-01-05,"Image pack, Site links, People also ask"
composite bonding teeth,1,1,260,72.83,0.95,https://www.3dental.ie/blog/what-is-composite-bonding/,208,0.61,197.00,0.2,64700000,"[35,19,35,29,29,54,44,81,100,81,54,54]",2020-12-21,"Image pack, People also ask"
dental implants,1,1,2400,72.06,1.38,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,1128,3.36,1556.00,0.4,55600000,"[66,100,83,55,45,66,83,83,83,66,83,100]",2021-01-16,"Local pack, Image pack, People also ask"
composite tooth bonding before and after,1,1,90,65.57,0.00,https://www.3dental.ie/blog/what-is-composite-bonding/,42,0.12,0.00,0,31400000,"[14,14,14,14,71,57,14,100,43,14,71,0]",2021-01-15,"Image pack, Site links, People also ask"
bottom teeth aligners,1,1,90,50.66,0.00,https://www.3dental.ie/blog/the-7-most-faq-s-of-teeth-straightening/,42,0.12,0.00,0.71,713000,"[0,0,0,0,100,0,0,0,29,14,14,14]",2021-01-09,"Image pack, Site links, People also ask"
dental implants ireland,1,1,480,69.17,0.81,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,225,0.67,182.00,0.78,3350000,"[100,100,100,100,81,81,81,81,54,100,100,66]",2021-01-06,"Knowledge panel, Image pack, AdWords top, People also ask"
bottom braces cost,1,1,90,63.12,1.42,https://www.3dental.ie/six-month-braces/,42,0.12,60.00,0.41,26700000,"[22,11,22,100,11,33,100,11,11,33,11,11]",2020-12-31,"Image pack, People also ask, FAQ"
cosmetic bonding teeth before and after,1,1,90,59.09,0.00,https://www.3dental.ie/blog/what-is-composite-bonding/,42,0.12,0.00,0,30800000,"[0,100,75,75,25,0,0,75,25,25,25,0]",2020-12-24,"Image pack, Site links, People also ask"
lingual braces,1,1,320,66.35,1.35,https://www.3dental.ie/blog/incognito-lingual-braces-explained/,150,0.44,203.00,0.16,2090000,"[67,44,67,54,44,44,67,81,81,81,67,100]",2021-01-07,"Image pack, Site links, People also ask"
old quarter dental,1,1,140,83.85,1.04,https://www.3dental.ie/limerick/,112,0.33,116.00,0.05,33100000,"[67,52,100,67,52,33,33,67,81,67,81,67]",2020-12-21,"Local pack, Image pack, Site links, Reviews, Video"
false teeth on medical card,1,1,140,76.53,0.50,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,65,0.19,32.00,0.4,13300000,"[52,43,81,81,33,24,52,100,81,81,81,81]",2020-12-27,"Site links, People also ask"
how much are braces,1,1,390,71.8,1.05,https://www.3dental.ie/adult-braces/,183,0.54,192.00,0.48,133000000,"[54,81,81,54,54,66,81,81,100,66,54,54]",2021-01-16,"Image pack, AdWords bottom, People also ask"
3 dental teeth whitening,1,1,90,79.57,0.81,https://www.3dental.ie/teeth-whitening/,72,0.21,58.00,0.8,65700000,"[14,43,14,100,14,14,14,29,14,14,14,14]",2021-01-09,"Knowledge panel, Site links"
composite bonding,1,1,3600,67.38,0.89,https://www.3dental.ie/blog/what-is-composite-bonding/,2880,8.57,2563.00,0.13,248000000,"[13,36,24,20,29,36,55,100,82,82,82,100]",2021-01-17,"Local pack, Image pack, People also ask"
what is root canal treatment,1,1,170,78.63,0.21,https://www.3dental.ie/blog/what-is-root-canal-treatment/,79,0.23,16.00,0.02,70400000,"[67,81,100,81,81,67,67,100,67,81,81,52]",2021-01-08,"Knowledge panel, Image pack, People also ask"
3d dental dublin,1,1,170,78.71,1.30,https://www.3dental.ie/dublin/,136,0.4,176.00,0.12,4070000,"[44,34,53,44,34,16,34,53,66,81,81,100]",2021-01-05,"Knowledge panel, Site links, Reviews, Video Carousel"
crown cost ireland,1,1,110,70.7,0.41,https://www.3dental.ie/crowns/,51,0.15,21.00,0.2,32600000,"[53,53,65,82,29,29,53,100,65,65,100,100]",2020-12-28,"Site links, Featured snippet, People also ask"
teeth bonding cost,1,1,90,68.21,0.56,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,72,0.21,40.00,0.12,12900000,"[53,41,53,53,41,53,53,53,82,65,53,100]",2021-01-07,"Image pack, Site links, People also ask"
dental implants cost ireland,1,1,170,69.83,0.64,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,79,0.23,51.00,0.47,1060000,"[81,54,100,65,54,35,54,100,81,65,65,54]",2020-12-29,People also ask
dental implant cost whole mouth,1,1,170,52.86,0.81,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,79,0.23,64.00,0.85,2760000,"[52,81,81,67,67,81,81,81,67,67,52,100]",2021-01-15,People also ask
tooth crown,1,1,1600,75.11,0.45,https://www.3dental.ie/crowns/,752,2.24,338.00,0.1,268000000,"[42,79,67,42,42,67,79,79,79,79,79,100]",2021-01-17,"Image pack, People also ask"
getting teeth done abroad,1,1,90,67.69,0.97,https://www.3dental.ie/about/dentistry-abroad/,42,0.12,41.00,0.9,72400000,"[25,25,100,25,25,25,25,25,25,25,50,25]",2020-12-21,"AdWords top, People also ask"
3 dental red cow,1,1,320,80.27,1.59,https://www.3dental.ie/dublin/,256,0.76,407.00,0.05,88,"[29,54,82,54,36,15,54,100,44,29,29,36]",2020-12-21,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
teeth in a day cost ireland,1,1,110,68.31,0.39,https://www.3dental.ie/blog/teeth-in-a-day-cost-ireland/,51,0.15,20.00,0.51,12400000,"[52,67,33,24,33,33,43,24,43,52,67,100]",2021-01-13,People also ask
dental surgery financing,1,1,90,61.01,0.00,https://www.3dental.ie/flexifi/,42,0.12,0.00,0,6430000,"[0,0,0,0,0,0,0,100,0,0,11,0]",2021-01-13,"Local pack, Video Carousel, People also ask, FAQ"
what are veneers,1,1,880,72.99,0.54,https://www.3dental.ie/veneers-in-a-day/,413,1.23,223.00,0.02,78600000,"[37,100,63,45,55,45,55,81,81,30,37,45]",2021-01-17,"Knowledge panel, Image pack, Site links, People also ask"
composite bonding dublin,1,1,320,67.42,1.02,https://www.3dental.ie/bonding/,256,0.76,261.00,0.41,867000,"[19,44,36,36,44,54,81,100,81,66,66,100]",2021-01-17,"Local pack, Site links, People also ask"
what is teeth bonding,1,1,210,65.4,0.36,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,168,0.5,60.00,0.07,24400000,"[19,12,15,29,15,24,36,54,81,36,54,100]",2020-12-24,"Knowledge panel, Image pack, Site links, People also ask"
3d dental limerick,1,1,170,74.58,1.06,https://www.3dental.ie/limerick/,136,0.4,144.00,0.09,577000,"[22,22,53,53,28,16,28,66,81,81,81,100]",2021-01-13,"Knowledge panel, Image pack, Video"
dental implants payment options,1,1,90,50.23,0.00,https://www.3dental.ie/flexifi/,42,0.12,0.00,0,18500000,"[11,56,0,0,0,0,0,0,0,78,100,0]",2020-12-24,People also ask
how much are dentures in ireland,1,1,90,69.41,0.49,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,42,0.12,20.00,0.2,1310000,"[11,11,11,22,11,11,11,100,56,11,11,33]",2021-01-10,"Featured snippet, People also ask"
composite bonding ireland,1,1,110,69.13,0.82,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,88,0.26,72.00,0.35,1050000,"[10,10,33,24,14,33,33,81,81,100,100,100]",2021-01-12,"Image pack, People also ask"
top braces price,1,1,90,71.49,1.44,https://www.3dental.ie/six-month-braces/,42,0.12,60.00,0.75,91800000,"[40,20,20,20,20,100,20,40,20,20,20,20]",2021-01-01,"AdWords top, People also ask"
teeth bonding,1,1,1900,73.76,0.86,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,1520,4.52,1307.00,0.13,27000000,"[20,36,36,24,36,36,53,81,67,67,100,67]",2021-01-17,"Local pack, Image pack, Site links, People also ask"
teeth bonding before and after,1,1,210,57.76,0.67,https://www.3dental.ie/blog/what-is-composite-bonding/,168,0.5,112.00,0.05,31000000,"[29,23,29,29,23,29,35,54,81,54,100,81]",2020-12-30,"Image pack, People also ask"
3 dental limerick,1,1,1300,85.48,1.22,https://www.3dental.ie/limerick/,1040,3.09,1268.00,0.03,800000,"[31,53,46,38,21,38,84,84,84,100,84,100]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
dental bridge,1,2,880,71.31,0.78,https://www.3dental.ie/bridges/,413,1.23,322.00,0.07,112000000,"[55,77,77,45,45,55,77,77,77,77,77,100]",2021-01-16,"Local pack, Image pack, Site links, People also ask"
does medical card cover braces for adults,1,1,90,74.25,1.74,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,42,0.12,73.00,0.54,43500000,"[11,11,0,11,11,0,11,11,11,100,11,11]",2021-01-15,"Site links, Featured snippet, People also ask"
cosmetic dentistry,1,1,320,72.97,0.69,https://www.3dental.ie/cosmetic-dentistry/,150,0.44,103.00,0.41,151000000,"[81,81,100,100,66,81,81,100,100,100,100,100]",2021-01-09,"Local pack, Image pack, Site links, People also ask"
how much is a tooth implant,1,1,110,70.56,0.45,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,51,0.15,23.00,0.49,26200000,"[64,64,64,64,79,64,79,79,50,100,64,64]",2021-01-09,"Image pack, Site links, People also ask"
are braces free with a medical card,1,1,90,76.64,0.82,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,42,0.12,34.00,0.42,44600000,"[25,50,25,75,25,100,25,25,25,25,50,50]",2020-12-31,"Site links, Featured snippet, People also ask"
dental implant cost,1,1,590,69.14,0.50,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,277,0.82,138.00,0.8,38900000,"[48,72,100,72,72,59,59,48,59,48,48,72]",2021-01-01,"Image pack, Featured snippet, People also ask"
how much are veneers,1,1,480,74.32,0.50,https://www.3dental.ie/veneers-in-a-day/,225,0.67,112.00,0.27,12200000,"[44,36,100,54,44,54,54,54,82,100,67,67]",2021-01-07,"Image pack, Featured snippet, People also ask"
dental implants ireland cost,1,1,110,70.67,0.51,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,51,0.15,26.00,0.51,3680000,"[41,41,53,65,41,29,41,53,82,100,82,82]",2020-12-29,"Image pack, People also ask"
tooth implant cost,1,1,320,70.3,0.48,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,150,0.44,72.00,0.81,24500000,"[44,81,100,81,81,36,44,36,36,44,36,44]",2021-01-01,"Image pack, People also ask"
composite bonding cost,1,1,210,70.37,0.60,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,168,0.5,100.00,0.18,119000000,"[34,28,53,53,44,66,66,81,100,81,53,44]",2020-12-24,"Image pack, Site links, People also ask"
brackets teeth braces,1,1,90,70.5,0.00,https://www.3dental.ie/blog/different-types-of-braces-brackets/,42,0.12,0.00,0,4680000,"[0,25,0,0,50,0,25,50,50,100,25,0]",2021-01-05,"Image pack, Site links, People also ask"
price of dental implants,1,1,90,64.39,0.55,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,42,0.12,23.00,0.74,19100000,"[79,64,79,64,50,29,64,100,79,64,79,79]",2021-01-11,"Image pack, Site links, People also ask"
3 unit bridge,1,1,90,45.18,0.00,https://www.3dental.ie/bridges/,42,0.12,0.00,0,701000000,"[25,50,25,25,100,25,100,25,25,25,25,25]",2020-12-28,"Image pack, People also ask"
complete upper dental implants cost,1,1,90,54.93,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,42,0.12,0.00,0,8550000,"[0,0,0,0,0,0,75,25,0,100,0,0]",2021-01-15,"Image pack, People also ask"
3 dental prices,1,1,90,78.12,0.99,https://www.3dental.ie/price-list/,72,0.21,71.00,0.18,156000000,"[79,36,50,100,79,64,100,64,100,64,50,64]",2020-12-28,"Image pack, Site links, People also ask"
endodontist dublin,1,1,170,62.79,0.89,https://www.3dental.ie/endodontics/,79,0.23,71.00,0.21,102000,"[54,54,81,81,100,42,42,65,54,100,54,81]",2021-01-09,"Local pack, Image pack, People also ask"
braces cost,1,1,480,68.99,0.79,https://www.3dental.ie/adult-braces/,225,0.67,178.00,0.66,364000000,"[66,54,100,100,54,66,81,100,100,81,81,81]",2020-12-22,"Image pack, People also ask"
dentist that do veneers,1,1,90,72.91,0.00,https://www.3dental.ie/veneers-in-a-day/,42,0.12,0.00,1,20200000,"[0,56,0,0,11,0,11,100,22,33,0,11]",2021-01-15,"Local pack, People also ask"
three dental,1,1,260,65.61,0.93,https://www.3dental.ie/,208,0.61,193.00,0.05,1840000000,"[44,44,82,67,54,44,67,82,100,82,100,100]",2021-01-12,"Knowledge panel, Site links, Reviews, Video Carousel"
dental screw in teeth prices,1,1,90,64.09,0.00,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,42,0.12,0.00,0.81,5000000,"[0,0,0,0,0,0,0,0,0,0,0,100]",2021-01-11,"Image pack, Site links, People also ask"
tooth implant cost ireland,1,1,170,68.75,0.56,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,79,0.23,44.00,0.49,755000,"[28,18,44,36,23,28,44,54,54,54,67,100]",2020-12-27,People also ask
3 dental,1,1,2900,77.73,1.14,https://www.3dental.ie/,2320,6.91,2644.00,0.02,476000000,"[43,66,55,55,43,66,100,100,100,82,82,82]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
3d dental,1,1,880,48.56,1.53,https://www.3dental.ie/,704,2.09,1077.00,0.07,169000000,"[37,68,55,45,37,68,100,100,77,77,68,68]",2021-01-17,"Local pack, Site links, Reviews"
how much are dental implants,1,1,140,70.64,0.51,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,65,0.19,33.00,0.52,54700000,"[100,82,65,82,82,65,82,100,82,100,65,65]",2021-01-05,People also ask
teeth braces,1,1,390,73.61,1.21,https://www.3dental.ie/adult-braces/,183,0.54,221.00,0.84,152000000,"[66,54,81,66,54,66,66,81,100,81,81,81]",2021-01-01,"Local pack, Image pack, Site links, People also ask"
teeth bonding dublin,1,1,110,66.06,0.82,https://www.3dental.ie/bonding/,88,0.26,72.00,0.42,870000,"[50,50,100,64,100,50,50,79,100,100,100,100]",2021-01-04,"Local pack, Image pack, Site links, People also ask"
composite bonding cost ireland,1,1,90,68.35,0.84,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,72,0.21,60.00,0.45,3050000,"[11,11,22,11,11,78,22,100,78,11,22,22]",2020-12-23,"Video, People also ask"
dental crown price,1,1,110,73.06,0.31,https://www.3dental.ie/crowns/,51,0.15,16.00,0.36,135000000,"[65,53,100,65,53,29,53,65,100,82,82,82]",2021-01-12,"Image pack, Site links, People also ask"
clear teeth retainer,1,1,90,68.24,1.05,https://www.3dental.ie/blog/the-ultimate-guide-to-orthodontic-retainers/,42,0.12,44.00,1,3930000,"[20,20,100,0,20,0,40,20,80,20,20,60]",2021-01-02,"Image pack, Site links, People also ask"
dentist red cow,1,1,170,80.22,2.85,https://www.3dental.ie/dublin/,136,0.4,387.00,0.14,6030000,"[54,42,65,81,42,65,81,100,100,81,81,81]",2020-12-25,"Knowledge panel, Site links, Reviews, Video"
composite bonding before and after,1,1,320,61.92,1.29,https://www.3dental.ie/blog/what-is-composite-bonding/,256,0.76,330.00,0.02,75700000,"[13,10,36,29,19,29,36,54,82,82,100,100]",2021-01-08,"Image pack, Site links, People also ask"
dental bonding before and after,1,1,110,58.89,0.00,https://www.3dental.ie/blog/what-is-composite-bonding/,51,0.15,0.00,0.04,27300000,"[19,15,35,27,15,35,42,65,81,54,100,100]",2021-01-12,"Image pack, People also ask"
teeth retainer,1,1,210,70.71,0.74,https://www.3dental.ie/blog/the-ultimate-guide-to-orthodontic-retainers/,98,0.29,73.00,1,26400000,"[44,44,54,44,44,44,44,67,82,67,82,100]",2021-01-11,"Image pack, People also ask"
free braces with medical card ireland,1,1,110,79.44,1.21,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,51,0.15,62.00,0.5,4960000,"[33,100,81,43,33,33,52,67,43,52,43,52]",2021-01-17,"Image pack, Site links, Featured snippet, People also ask"
full mouth dental implants cost ireland,1,1,110,70.46,0.67,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,51,0.15,34.00,0.63,2640000,"[65,65,65,100,100,65,41,53,53,65,53,29]",2020-12-28,People also ask
tooth implant price,1,1,170,66.6,0.58,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,79,0.23,46.00,0.88,7290000,"[67,67,81,81,100,100,100,100,100,81,81,100]",2021-01-10,"Image pack, People also ask"
how much is invisalign,1,1,260,69.57,0.91,https://www.3dental.ie/blog/how-much-is-invisalign/,122,0.36,111.00,0.53,7490000,"[44,36,54,54,36,67,67,82,100,100,82,100]",2021-01-10,"Image pack, Site links, People also ask"
retainer braces,1,1,90,69.72,1.10,https://www.3dental.ie/blog/the-ultimate-guide-to-orthodontic-retainers/,42,0.12,46.00,0.83,19100000,"[79,50,79,79,50,50,36,79,79,100,64,79]",2021-01-04,"Image pack, Site links, People also ask"
how much is a root canal,1,1,110,74.44,0.39,https://www.3dental.ie/blog/how-much-does-root-canal-cost/,51,0.15,20.00,0.07,82000000,"[53,65,65,65,82,82,65,82,53,100,82,53]",2021-01-06,People also ask
white fillings,1,1,110,60.32,0.00,https://www.3dental.ie/white-fillings/,51,0.15,0.00,0.24,17000000,"[79,79,100,100,100,79,79,100,79,100,79,64]",2021-01-13,"Image pack, People also ask"
all on 4 dental implants,1,1,110,61.24,0.52,https://www.3dental.ie/smile-in-a-day/,51,0.15,26.00,0.32,44800000,"[65,53,82,82,29,53,41,82,82,53,100,100]",2021-01-05,"Image pack, People also ask"
screw in teeth,1,1,140,65.23,0.40,https://www.3dental.ie/blog/the-cost-of-dental-implants-in-ireland/,65,0.19,26.00,0.88,31600000,"[52,67,67,43,43,52,81,100,67,52,67,100]",2021-01-13,"Image pack, Site links, People also ask"
dental bridge price,1,1,110,69.78,0.37,https://www.3dental.ie/blog/the-3-dental-guide-to-crowns-and-bridges/,51,0.15,19.00,0.44,38500000,"[65,29,65,53,29,41,53,82,82,100,65,65]",2020-12-26,"Image pack, Site links, Featured snippet, People also ask"
clear braces or invisalign,1,1,90,56.95,1.50,https://www.3dental.ie/blog/invisalign-vs-invisible-braces/,42,0.12,63.00,0.54,4750000,"[100,20,40,20,20,20,20,20,20,40,20,40]",2021-01-13,"Image pack, People also ask"
dental crown bridge,1,1,90,66.35,0.00,https://www.3dental.ie/blog/the-3-dental-guide-to-crowns-and-bridges/,42,0.12,0.00,0.34,17800000,"[33,11,22,56,33,0,11,11,11,100,100,11]",2021-01-03,"Local pack, Image pack, Site links, People also ask"
3dental,1,1,2400,80.28,1.79,https://www.3dental.ie/,1920,5.71,3436.00,0.03,812000,"[45,66,66,55,45,83,100,100,100,83,83,83]",2021-01-17,"Local pack, Image pack, Site links, Reviews, Video Carousel"
teeth bonding price,1,1,110,69.05,0.50,https://www.3dental.ie/blog/what-is-dental-bonding-and-how-much-does-it-cost-/,88,0.26,44.00,0.26,6120000,"[19,33,33,43,33,43,33,52,100,52,52,67]",2020-12-27,"Image pack, Site links, Reviews, Video, People also ask, FAQ"
dental sinus lift,1,1,90,52.67,0.00,https://www.3dental.ie/sinus-lifts/,42,0.12,0.00,0.08,5290000,"[14,100,29,14,29,29,14,14,14,14,14,14]",2020-12-30,"Image pack, People also ask"
3d dental red cow,1,1,110,77.98,1.49,https://www.3dental.ie/dublin/,88,0.26,131.00,0.11,4070000,"[15,27,27,42,27,35,42,81,100,35,54,54]",2021-01-03,"Knowledge panel, Site links, Reviews, Video Carousel"
around how much do braces cost,2,2,90,70.35,0.00,https://www.3dental.ie/adult-braces/,11,0.03,0.00,0,27200000,"[0,0,100,0,100,0,0,100,100,0,0,0]",2021-01-17,"Site links, Featured snippet, People also ask"
best dentist near me for veneers,2,2,90,66.2,0.00,https://www.3dental.ie/veneers/,11,0.03,0.00,0,20900000,"[0,0,0,0,0,0,0,0,0,0,100,0]",2021-01-10,"Local pack, People also ask"
fissure sealant,2,2,480,68.46,3.36,https://www.3dental.ie/fissure-sealants/,62,0.18,209.00,0.04,993000,"[82,44,82,82,54,24,36,67,82,82,82,100]",2020-12-27,"Image pack, People also ask"
cheap root canal treatment,2,2,90,73.31,0.60,https://www.3dental.ie/blog/how-much-does-root-canal-cost/,11,0.03,7.00,0.6,76500000,"[75,100,75,25,50,25,25,75,25,25,100,50]",2020-12-31,People also ask
same day dentures dublin,2,2,90,61.99,0.91,https://www.3dental.ie/smile-in-a-day/,11,0.03,10.00,0.71,5370000,"[14,14,14,71,43,14,14,14,100,71,29,14]",2021-01-03,"Local pack, People also ask"
3 dental reviews,2,2,110,81.81,1.47,https://www.3dental.ie/implants/,2,0,4.00,0.08,246000000,"[82,65,82,82,41,29,65,100,82,100,82,65]",2020-12-28,"Knowledge panel, Site links, Reviews, Video Carousel"
dental finance plans ireland,2,2,90,68.32,0.65,https://www.3dental.ie/flexifi/,11,0.03,7.00,0.67,9210000,"[25,50,25,25,25,25,50,100,25,75,25,75]",2020-12-26,"Video, People also ask"
dentures on medical card,2,2,140,72.02,0.36,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,3,0,1.00,0.13,3430000,"[67,67,100,81,43,24,43,81,67,67,67,67]",2020-12-22,"Site links, People also ask"
veneer teeth prep,2,2,110,55.58,0.00,https://www.3dental.ie/no-prep-veneers/,14,0.04,0.00,0,1910000,"[4,54,19,19,12,12,19,27,65,81,100,100]",2021-01-14,"Image pack, Site links, People also ask"
how much do braces cost in ireland,2,2,260,75.7,1.06,https://www.3dental.ie/adult-braces/,33,0.09,35.00,0.55,7610000,"[35,23,35,29,29,35,44,54,67,67,81,100]",2021-01-11,"Featured snippet, People also ask"
best dentist for bridges near me,2,2,90,67.36,0.00,https://www.3dental.ie/bridges/,11,0.03,0.00,0,246000000,"[0,0,0,22,0,0,0,0,0,0,0,100]",2021-01-10,"Local pack, People also ask"
veneers prices ireland,2,2,210,72.22,0.72,https://www.3dental.ie/veneers-in-a-day/,27,0.08,19.00,0.65,356000,"[23,67,44,44,44,44,67,67,82,67,82,100]",2021-01-16,"Reviews, People also ask"
dental bonding,2,2,480,75.96,0.71,https://www.3dental.ie/bonding/,62,0.18,44.00,0.07,31300000,"[54,44,67,67,54,82,67,82,100,67,67,82]",2021-01-09,"Knowledge panel, Local pack, Image pack, Site links, People also ask"
can i get false teeth on medical card,2,2,140,76.96,1.94,https://www.3dental.ie/blog/dental-treatments-covered-by-medical-card/,3,0,7.00,0.24,29000000,"[67,33,52,52,24,14,43,81,81,81,100,81]",2020-12-21,"Site links, People also ask"
3 dental dublin,2,2,1000,83.15,1.48,https://www.3dental.ie/,26,0.07,38.00,0.06,23200000,"[17,46,38,21,9,31,84,100,68,84,84,84]",2021-01-17,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
cost of crown on back molar,2,2,90,72.07,0.00,https://www.3dental.ie/crowns/,11,0.03,0.00,0,1410000,"[25,100,25,25,0,0,0,75,0,0,0,0]",2021-01-05,"Image pack, Site links, Featured snippet, People also ask"
composite bonding price ireland,2,2,140,70.13,1.10,https://www.3dental.ie/bonding/,3,0,4.00,0.51,963000,"[3,8,5,3,3,5,18,82,67,82,54,100]",2021-01-15,"Site links, Video, People also ask"
